company_id,country,sector,revenue,debt_ratio,days_late,num_employees,credit_score,years_in_business,defaulted,expected_loss
C0422,IT,Energy,490.52,0.157,7,345,446,33,0,0.89
C0423,IT,Finance,131.66,0.177,6,187,306,5,0,2.57
C0424,ES,Energy,194.61,0.201,12,460,741,19,0,0.08
C0425,ES,Tech,44.45,0.162,9,353,533,16,0,0.09
C0426,FR,Retail,218.48,0.204,8,114,604,28,0,0.05
C0427,BE,Tech,86.1,0.377,5,53,731,14,0,0.01
C0428,BE,Retail,208.46,0.273,3,12,480,28,0,0.09
C0429,FR,Retail,60.77,0.319,14,423,749,20,0,0.02
C0430,IT,Finance,265.07,0.159,6,412,620,35,0,0.04
C0431,FR,Retail,371.36,0.321,8,242,612,8,0,0.68
C0432,IT,Energy,104.77,0.431,7,362,447,30,1,13.13
C0433,BE,Finance,81.79,0.579,8,442,733,29,0,0.08
C0434,FR,Finance,40.08,0.285,11,84,432,33,0,0.02
C0435,ES,Retail,150.43,0.16,5,490,640,20,0,0.04
C0436,FR,Retail,120.65,0.316,9,247,755,13,0,0.04
C0437,ES,Tech,61.21,0.272,2,221,364,21,0,0.28
C0438,BE,Energy,248.92,0.626,11,84,520,38,1,13.69
C0439,FR,Finance,132.29,0.331,8,337,672,8,0,0.04
C0440,DE,Tech,85.37,0.128,6,303,450,26,0,0.05
C0441,BE,Retail,122.95,0.502,5,19,315,9,1,32.55
C0442,DE,Tech,383.72,0.365,11,325,525,31,0,1.27
C0443,FR,Finance,276.46,0.009,4,74,573,17,0,0.02
C0444,ES,Retail,165.5,0.334,8,141,806,34,0,0.02
C0445,ES,Tech,279.6,0.329,6,307,743,7,0,0.04
C0446,IT,Retail,80.43,0.629,6,391,399,5,0,0.95
C0447,DE,Retail,185.43,0.113,7,71,452,38,0,0.05
C0448,BE,Finance,200.96,0.232,5,239,401,14,0,0.43
C0449,ES,Retail,130.47,0.181,11,146,800,4,0,0.01
C0450,DE,Tech,245.87,0.087,11,354,494,33,0,0.29
C0451,BE,Finance,104.97,0.199,10,414,790,17,0,0.01
C0452,BE,Construction,259.01,0.4,6,321,333,36,0,4.15
C0453,ES,Retail,266.75,0.263,7,398,607,18,0,0.1
C0454,FR,Energy,23.52,0.57,6,228,341,30,1,10.41
C0455,ES,Finance,417.05,0.07,7,300,605,23,0,0.07
C0456,ES,Energy,21.47,0.462,12,149,306,19,0,0.18
C0457,FR,Energy,117.77,0.538,3,494,385,19,0,0.97
C0458,IT,Energy,371.57,0.179,10,106,380,10,0,1.3
C0459,BE,Construction,145.17,0.507,12,460,689,29,0,1.11
C0460,FR,Retail,64.95,0.218,4,374,652,21,0,0.0
C0461,IT,Finance,84.3,0.339,6,493,607,1,0,0.23
C0462,FR,Finance,371.98,0.442,7,322,408,16,0,0.71
C0463,IT,Retail,47.23,0.327,6,179,446,16,0,0.26
C0464,ES,Finance,399.53,0.099,5,144,507,35,0,0.46
C0465,FR,Finance,174.41,0.177,3,93,838,17,0,0.0
C0466,BE,Construction,78.67,0.245,13,483,688,23,0,0.06
C0467,FR,Tech,120.52,0.475,3,57,317,4,0,2.63
C0468,ES,Energy,88.94,0.116,7,406,317,16,0,0.23
C0469,FR,Finance,332.41,0.431,9,350,491,12,1,101.32
C0470,BE,Retail,302.69,0.625,5,67,414,20,0,2.46
C0471,IT,Finance,54.41,0.239,9,458,523,36,0,0.04
C0472,BE,Finance,136.66,0.023,7,85,847,37,0,0.0
C0473,ES,Construction,99.06,0.481,6,84,407,12,0,0.25
C0474,ES,Tech,448.3,0.189,8,274,628,24,0,0.06
C0475,IT,Energy,70.45,0.181,14,56,565,38,0,0.02
C0476,IT,Retail,557.22,0.586,5,55,662,9,0,1.04
C0477,BE,Finance,177.1,0.1,7,313,600,18,0,0.19
C0478,FR,Tech,80.37,0.051,9,482,583,20,0,0.0
C0479,IT,Retail,112.83,0.207,5,31,451,1,0,0.07
C0480,FR,Construction,103.43,0.712,6,320,831,19,0,0.07
C0481,DE,Construction,74.27,0.143,9,302,447,5,0,0.18
C0482,BE,Construction,193.71,0.351,7,37,379,13,0,0.6
C0483,DE,Retail,76.74,0.236,10,79,352,5,0,0.57
C0484,IT,Construction,39.4,0.308,6,224,337,29,0,0.24
C0485,ES,Construction,138.97,0.196,8,348,494,33,0,0.07
C0486,DE,Construction,51.32,0.167,8,114,748,11,0,0.05
C0487,DE,Finance,107.07,0.326,7,219,385,2,0,1.64
C0488,ES,Tech,95.93,0.135,9,247,302,20,0,0.1
C0489,IT,Tech,98.51,0.443,7,357,591,5,0,0.12
C0490,IT,Finance,735.59,0.135,8,127,608,18,0,0.44
C0491,BE,Energy,188.57,0.67,9,346,609,22,1,48.2
C0492,BE,Energy,215.24,0.341,14,416,300,19,0,5.16
C0493,IT,Tech,52.28,0.463,8,293,411,21,0,0.07
C0494,IT,Construction,114.69,0.3,7,361,491,23,0,0.28
C0495,DE,Construction,210.76,0.222,5,87,706,7,0,0.19
C0496,ES,Retail,88.48,0.188,8,453,657,27,0,0.04
C0497,FR,Energy,342.29,0.332,11,154,748,27,0,0.04
C0498,DE,Finance,78.11,0.238,5,102,601,6,0,0.07
C0499,BE,Tech,148.35,0.475,6,276,521,17,0,0.63
C0500,ES,Tech,120.27,0.444,8,195,607,12,0,0.16
C0501,FR,Finance,203.37,0.425,8,233,511,16,0,1.14
C0502,IT,Retail,115.78,0.433,14,403,386,31,0,0.06
C0503,BE,Tech,149.96,0.372,4,270,616,24,0,0.29
C0504,BE,Energy,153.65,0.23,5,190,462,36,0,0.41
C0505,DE,Construction,108.41,0.168,4,401,445,23,0,0.04
C0506,ES,Retail,254.57,0.188,5,192,690,2,0,0.07
C0507,ES,Energy,214.19,0.372,5,479,336,28,0,3.13
C0508,DE,Retail,170.37,0.116,8,493,312,3,0,0.06
C0509,DE,Construction,134.11,0.377,7,237,495,14,0,1.3
C0510,DE,Construction,316.58,0.091,10,386,627,37,0,0.08
C0511,BE,Energy,153.69,0.366,15,355,761,39,0,0.01
C0512,IT,Tech,146.25,0.295,9,431,584,6,0,0.16
C0513,BE,Retail,195.06,0.15,9,233,442,39,0,0.07
C0514,BE,Finance,594.43,0.092,11,206,489,39,0,0.06
C0515,BE,Construction,70.93,0.564,7,141,508,35,0,0.35
C0516,FR,Tech,310.72,0.304,7,295,484,33,0,0.06
C0517,BE,Energy,48.17,0.137,8,309,667,3,0,0.02
C0518,FR,Construction,211.05,0.56,6,228,739,5,0,0.63
C0519,ES,Construction,545.97,0.467,13,158,689,24,0,0.37
C0520,ES,Energy,255.21,0.394,4,227,510,4,0,2.82
C0521,DE,Tech,204.27,0.111,13,253,458,10,0,0.09
C0522,FR,Construction,122.45,0.161,8,68,343,39,1,19.37
C0523,FR,Construction,185.25,0.03,10,331,738,36,0,0.02
C0524,BE,Energy,151.95,0.126,10,421,829,10,0,0.02
C0525,DE,Retail,104.57,0.233,11,164,330,22,0,0.25
C0526,DE,Energy,147.98,0.294,10,198,371,22,0,0.31
C0527,BE,Construction,208.28,0.391,8,50,417,11,1,61.24
C0528,FR,Finance,105.95,0.147,4,293,738,10,0,0.0
C0529,BE,Energy,103.09,0.044,12,216,418,18,0,0.17
C0530,BE,Tech,69.95,0.1,14,429,307,24,0,0.27
C0531,ES,Energy,238.29,0.405,5,454,484,32,0,2.3
C0532,FR,Retail,265.53,0.515,13,387,500,33,0,0.33
C0533,FR,Retail,213.19,0.22,10,108,517,1,0,0.27
C0534,DE,Construction,356.25,0.241,13,103,583,26,0,0.08
C0535,ES,Finance,192.77,0.473,4,245,433,25,1,70.83
C0536,FR,Finance,238.51,0.246,7,311,316,2,0,2.24
C0537,ES,Energy,224.23,0.192,14,20,359,33,0,0.25
C0538,FR,Retail,170.02,0.418,10,250,703,24,0,0.04
C0539,ES,Finance,125.01,0.429,13,47,662,29,0,0.11
C0540,FR,Energy,853.98,0.234,11,133,443,26,0,0.63
C0541,IT,Tech,132.11,0.421,7,182,817,14,0,0.01
C0542,FR,Finance,113.74,0.153,12,25,597,8,0,0.04
C0543,FR,Construction,245.63,0.259,8,134,738,15,0,0.08
C0544,FR,Construction,216.22,0.31,4,316,735,30,0,0.05
C0545,BE,Tech,67.81,0.134,7,498,465,25,0,0.1
C0546,FR,Finance,397.77,0.159,10,391,625,25,0,0.1
C0547,ES,Energy,169.71,0.193,9,156,626,6,0,0.07
C0548,ES,Energy,83.29,0.371,6,471,550,1,0,0.17
C0549,ES,Construction,416.61,0.5,16,222,649,27,0,1.17
C0550,IT,Construction,280.89,0.5,13,180,484,38,0,0.18
C0551,BE,Retail,74.8,0.44,14,424,353,14,0,0.31
C0552,DE,Tech,628.94,0.178,10,202,324,18,0,0.57
C0553,BE,Tech,287.48,0.615,10,370,545,38,0,0.74
C0554,DE,Finance,179.98,0.03,15,85,802,10,0,0.0
C0555,BE,Construction,551.78,0.424,6,169,417,21,0,0.47
C0556,ES,Tech,202.66,0.355,6,492,625,4,0,0.24
C0557,IT,Construction,177.74,0.076,8,125,390,11,0,0.07
C0558,BE,Construction,114.18,0.223,9,425,647,15,0,0.16
C0559,IT,Tech,272.41,0.298,4,235,401,27,0,0.55
C0560,BE,Energy,253.06,0.1,4,479,542,13,0,0.18
C0561,ES,Finance,183.14,0.265,6,210,744,18,0,0.04
C0562,FR,Energy,104.27,0.118,9,250,504,12,0,0.03
C0563,ES,Retail,198.53,0.306,14,200,813,6,0,0.28
C0564,FR,Construction,172.63,0.329,7,108,325,31,0,1.69
C0565,BE,Energy,71.28,0.068,9,422,346,27,1,15.4
C0566,DE,Energy,64.7,0.261,10,288,392,26,0,0.04
C0567,DE,Construction,269.24,0.38,10,255,434,23,0,1.07
C0568,DE,Finance,29.33,0.034,8,189,534,6,0,0.01
C0569,IT,Tech,209.3,0.351,3,387,802,21,0,0.08
C0570,ES,Energy,129.72,0.392,8,177,432,28,1,52.25
C0571,BE,Retail,452.95,0.588,6,122,496,20,0,1.46
C0572,ES,Construction,128.33,0.333,8,45,324,29,1,13.41
C0573,DE,Energy,287.62,0.121,13,437,693,13,0,0.05
C0574,FR,Tech,137.3,0.307,9,41,600,21,0,0.05
C0575,FR,Construction,196.3,0.322,5,423,324,15,1,34.93
C0576,DE,Energy,303.62,0.431,8,192,555,39,0,1.29
C0577,BE,Energy,131.13,0.527,11,6,420,7,0,0.27
C0578,ES,Energy,364.16,0.295,1,463,531,12,0,0.31
C0579,BE,Tech,90.42,0.247,11,371,456,27,0,0.03
C0580,FR,Retail,222.79,0.292,7,362,731,3,0,0.07
C0581,FR,Finance,345.8,0.226,7,276,331,20,0,1.17
C0582,BE,Retail,287.73,0.326,11,381,629,2,0,0.44
C0583,FR,Tech,693.33,0.116,10,70,736,21,0,0.05
C0584,FR,Construction,106.23,0.417,7,120,300,13,1,27.24
C0585,ES,Retail,69.03,0.354,6,274,797,8,0,0.1
C0586,BE,Construction,90.37,0.305,10,368,719,20,0,0.04
C0587,IT,Construction,287.81,0.126,13,296,453,13,0,0.05
C0588,FR,Construction,256.86,0.107,13,206,565,4,0,0.56
C0589,BE,Tech,194.72,0.474,10,337,674,21,0,0.01
C0590,BE,Retail,82.59,0.589,6,34,584,23,0,0.05
C0591,BE,Finance,310.07,0.341,11,256,716,26,0,0.18
C0592,BE,Tech,76.92,0.639,3,200,789,36,0,0.0
C0593,DE,Finance,408.0,0.446,7,251,496,28,0,0.18
C0594,BE,Retail,1339.71,0.139,12,69,360,32,0,0.31
C0595,DE,Retail,234.28,0.305,5,452,537,26,0,0.28
C0596,BE,Construction,272.65,0.219,10,427,629,27,0,0.05
C0597,ES,Finance,128.38,0.352,15,471,726,31,0,0.03
C0598,IT,Finance,51.05,0.28,5,420,455,26,0,0.05
C0599,IT,Construction,118.88,0.381,7,333,810,20,0,0.05
C0600,IT,Tech,84.35,0.404,11,147,320,29,0,0.3
C0601,IT,Finance,65.83,0.173,12,61,619,38,0,0.03
C0602,IT,Construction,605.26,0.267,9,307,540,20,0,0.61
C0603,IT,Retail,219.42,0.316,9,473,682,9,0,0.18
C0604,FR,Retail,236.46,0.372,5,185,455,16,0,0.43
C0605,BE,Finance,146.01,0.492,7,496,812,1,0,0.02
C0606,ES,Tech,160.61,0.125,14,81,300,12,0,0.35
C0607,DE,Construction,356.09,0.153,9,145,748,35,0,0.1
C0608,ES,Retail,177.22,0.146,4,326,571,4,1,38.31
C0609,BE,Tech,262.82,0.468,7,248,583,35,0,0.7
C0610,BE,Tech,158.03,0.377,7,381,471,22,1,78.29
C0611,BE,Tech,142.66,0.154,9,175,515,13,0,0.08
C0612,ES,Construction,67.71,0.275,15,388,538,19,0,0.22
C0613,IT,Finance,45.4,0.063,8,154,471,35,0,0.01
C0614,DE,Finance,150.94,0.084,6,78,306,5,1,41.89
C0615,IT,Construction,188.58,0.113,8,286,520,23,0,0.08
C0616,IT,Tech,73.68,0.445,6,258,520,11,0,0.01
C0617,DE,Finance,176.95,0.402,14,285,697,22,0,0.03
C0618,DE,Energy,188.22,0.162,6,16,558,31,0,0.18
C0619,FR,Energy,40.08,0.185,4,208,602,36,0,0.01
C0620,FR,Construction,95.53,0.114,4,49,556,10,0,0.09
C0621,ES,Construction,241.07,0.124,9,403,533,26,0,1.22
C0622,ES,Finance,237.68,0.171,11,45,694,17,0,0.03
C0623,FR,Energy,80.84,0.313,4,466,671,20,0,0.03
C0624,ES,Construction,202.54,0.267,4,33,845,7,0,0.04
C0625,IT,Construction,370.81,0.04,10,307,573,34,0,0.17
C0626,DE,Tech,312.3,0.129,6,170,315,7,0,0.81
C0627,DE,Tech,169.58,0.345,2,59,621,2,0,0.02
C0628,DE,Construction,130.64,0.304,12,182,517,30,0,1.33
C0629,ES,Retail,116.68,0.182,10,24,352,16,0,0.58
C0630,DE,Tech,251.51,0.348,6,350,771,3,0,0.01
C0631,IT,Construction,207.8,0.185,8,436,648,27,0,0.18
C0632,DE,Finance,281.63,0.404,6,168,644,12,0,0.11
C0633,ES,Energy,198.8,0.33,9,222,650,39,0,0.03
C0634,DE,Tech,321.54,0.203,8,74,840,39,0,0.01
C0635,FR,Energy,193.68,0.661,5,243,678,22,0,1.02
C0636,IT,Construction,313.97,0.243,6,473,692,19,0,0.07
C0637,DE,Energy,333.48,0.454,10,271,713,18,0,0.04
C0638,DE,Retail,103.22,0.431,6,438,698,24,0,0.01
C0639,IT,Energy,51.13,0.113,14,391,687,36,0,0.02
C0640,BE,Energy,534.03,0.177,11,66,341,25,0,2.99
C0641,IT,Construction,216.95,0.52,8,31,521,4,0,0.69
C0642,BE,Finance,54.59,0.198,7,184,451,8,0,0.02
C0643,BE,Finance,109.98,0.319,9,470,789,25,0,0.0
C0644,ES,Construction,311.16,0.161,13,88,621,15,0,0.09
C0645,IT,Tech,149.04,0.357,4,27,583,19,0,0.07
C0646,DE,Energy,126.67,0.164,8,479,587,16,0,0.52
C0647,ES,Retail,483.29,0.421,16,102,675,24,0,0.33
C0648,ES,Finance,87.09,0.336,6,181,719,9,0,0.02
C0649,BE,Finance,103.68,0.362,9,391,410,3,0,0.05
C0650,BE,Finance,210.18,0.479,9,53,846,10,0,0.06
C0651,ES,Tech,238.25,0.317,12,89,719,27,0,0.15
C0652,IT,Tech,256.58,0.218,10,364,413,24,0,0.74
C0653,DE,Finance,343.05,0.101,7,8,633,32,0,0.06
C0654,BE,Energy,208.31,0.421,8,357,535,5,1,47.56
C0655,ES,Construction,255.33,0.48,8,273,507,6,0,1.11
C0656,ES,Energy,151.19,0.599,7,124,776,6,0,0.69
C0657,IT,Energy,189.41,0.39,8,308,457,22,0,0.32
C0658,IT,Construction,195.44,0.125,7,164,760,23,0,0.01
C0659,FR,Finance,210.73,0.555,8,474,650,7,0,0.25
C0660,DE,Tech,311.31,0.196,8,210,749,18,0,0.01
C0661,FR,Finance,267.36,0.2,6,375,709,3,0,0.04
C0662,IT,Tech,186.97,0.353,7,137,641,24,0,0.01
C0663,FR,Energy,102.88,0.181,9,417,404,23,0,0.26
C0664,DE,Finance,190.07,0.369,9,147,846,2,0,0.02
C0665,ES,Finance,177.75,0.213,9,256,653,4,0,0.16
C0666,IT,Finance,207.52,0.486,10,401,496,28,0,0.04
C0667,ES,Tech,849.43,0.393,11,463,440,36,0,3.55
C0668,BE,Finance,125.63,0.12,5,377,363,34,0,0.03
C0669,BE,Finance,243.62,0.42,6,335,473,23,0,0.42
C0670,FR,Finance,382.96,0.24,3,347,372,21,0,0.6
C0671,BE,Retail,194.14,0.636,7,206,788,32,1,64.08
C0672,IT,Construction,931.22,0.225,10,344,539,33,0,2.62
C0673,IT,Finance,139.12,0.363,8,289,644,36,0,0.03
C0674,FR,Construction,227.43,0.265,5,263,742,16,0,0.06
C0675,IT,Tech,103.63,0.158,10,160,828,19,0,0.01
C0676,IT,Construction,141.73,0.254,6,178,549,4,0,0.08
C0677,ES,Retail,215.78,0.398,6,66,328,7,1,37.21
C0678,FR,Energy,327.8,0.232,5,361,636,15,0,0.79
C0679,ES,Construction,226.64,0.158,5,15,820,32,0,0.03
C0680,BE,Energy,437.63,0.383,9,62,496,18,0,2.97
C0681,IT,Construction,169.61,0.181,6,150,356,23,0,0.79
C0682,FR,Tech,143.66,0.397,13,74,693,34,0,0.09
C0683,BE,Construction,1203.26,0.355,6,376,641,19,0,0.23
C0684,BE,Construction,238.88,0.302,8,67,384,14,0,3.22
C0685,FR,Construction,109.55,0.427,7,230,301,29,0,1.11
C0686,BE,Tech,111.5,0.562,10,367,586,13,0,0.06
C0687,ES,Tech,93.7,0.338,8,296,381,16,0,1.05
C0688,ES,Tech,349.18,0.196,4,297,401,35,0,0.33
C0689,ES,Energy,140.46,0.475,5,175,469,18,0,1.63
C0690,IT,Energy,198.18,0.399,10,227,557,10,0,0.28
C0691,BE,Tech,173.39,0.355,12,384,749,33,0,0.02
C0692,IT,Energy,302.49,0.075,9,240,536,26,0,0.32
C0693,BE,Tech,100.21,0.404,7,351,759,30,0,0.05
C0694,BE,Tech,85.38,0.252,8,414,632,13,0,0.06
C0695,FR,Construction,212.09,0.037,5,126,516,31,0,0.16
C0696,DE,Finance,276.07,0.017,5,65,580,38,0,0.02
C0697,IT,Tech,228.78,0.182,9,234,377,7,0,1.02
C0698,ES,Finance,102.86,0.039,10,194,836,8,0,0.01
C0699,FR,Energy,291.27,0.301,7,79,466,23,0,0.24
C0700,FR,Retail,107.69,0.071,6,381,795,29,0,0.0
C0701,ES,Tech,125.83,0.228,10,313,654,1,1,19.41
C0702,IT,Retail,93.62,0.202,7,330,461,22,0,0.19
C0703,FR,Retail,450.7,0.149,13,356,567,5,0,0.28
C0704,FR,Tech,282.42,0.203,9,220,366,39,0,0.1
C0705,FR,Energy,276.86,0.2,2,257,638,29,0,0.02
C0706,ES,Construction,434.0,0.452,9,116,335,39,0,9.48
C0707,FR,Retail,1298.36,0.606,6,367,651,9,0,1.78
C0708,ES,Finance,54.79,0.494,3,473,408,31,0,0.24
C0709,ES,Tech,108.11,0.109,4,437,370,15,0,0.35
C0710,ES,Retail,117.76,0.43,6,206,422,5,0,0.26
C0711,IT,Construction,99.93,0.487,7,29,349,19,1,16.92
C0712,ES,Construction,85.26,0.056,6,439,788,19,0,0.0
C0713,IT,Construction,146.97,0.186,7,289,814,20,0,0.05
C0714,IT,Retail,77.35,0.405,11,390,808,34,0,0.01
C0715,BE,Retail,229.19,0.166,4,154,695,11,0,0.03
C0716,IT,Tech,187.95,0.477,10,431,426,25,0,2.17
C0717,ES,Energy,253.84,0.352,14,419,717,8,0,0.14
C0718,ES,Finance,258.63,0.372,7,13,717,35,0,0.07
C0719,DE,Tech,276.47,0.529,7,284,430,18,0,1.05
C0720,ES,Retail,139.58,0.456,8,241,759,32,0,0.02
C0721,FR,Finance,800.15,0.106,7,330,848,11,0,0.01
C0722,BE,Retail,213.6,0.172,6,133,507,13,0,0.33
C0723,BE,Retail,49.22,0.316,11,53,623,39,0,0.0
C0724,FR,Energy,89.87,0.162,14,140,779,8,0,0.03
C0725,IT,Energy,53.61,0.351,8,265,444,22,0,0.23
C0726,FR,Construction,183.49,0.35,9,138,843,13,0,0.04
C0727,IT,Finance,166.46,0.109,7,234,466,16,0,0.23
C0728,FR,Finance,130.6,0.317,4,197,832,28,0,0.02
C0729,ES,Tech,740.74,0.149,4,348,428,31,0,0.83
C0730,IT,Finance,266.21,0.197,6,208,708,19,0,0.01
C0731,IT,Construction,301.35,0.316,6,76,588,25,0,0.13
C0732,ES,Retail,94.47,0.441,10,318,504,2,0,0.46
C0733,BE,Finance,90.07,0.121,9,110,541,10,0,0.16
C0734,IT,Retail,186.0,0.441,9,153,424,29,0,0.46
C0735,DE,Energy,204.61,0.345,11,354,669,26,0,0.04
C0736,IT,Construction,49.43,0.317,8,140,846,2,0,0.01
C0737,IT,Tech,159.78,0.22,7,35,622,35,0,0.03
C0738,DE,Tech,183.07,0.324,14,183,451,16,1,11.16
C0739,IT,Energy,155.93,0.134,7,197,668,12,0,0.02
C0740,BE,Finance,102.58,0.214,10,344,541,19,0,0.25
C0741,BE,Tech,124.25,0.442,8,355,806,16,0,0.02
C0742,IT,Construction,160.16,0.338,7,5,445,20,1,17.03
C0743,IT,Energy,193.17,0.358,6,379,585,7,1,18.39
C0744,DE,Retail,276.82,0.77,9,374,572,6,0,0.51
C0745,IT,Construction,386.29,0.202,4,90,787,39,0,0.04
C0746,DE,Finance,147.52,0.37,10,172,360,30,0,0.42
C0747,ES,Energy,131.72,0.115,3,384,639,15,0,0.04
C0748,DE,Retail,246.25,0.539,9,290,744,34,0,0.18
C0749,DE,Retail,277.99,0.255,5,173,498,32,0,0.16
C0750,FR,Energy,133.76,0.291,10,381,577,28,0,0.04
C0751,BE,Energy,315.22,0.056,8,317,462,29,0,0.16
C0752,FR,Energy,359.86,0.254,8,257,530,38,0,0.57
C0753,FR,Tech,447.73,0.117,6,8,822,33,0,0.09
C0754,BE,Energy,629.44,0.638,6,325,499,11,0,5.28
C0755,ES,Tech,98.84,0.244,8,94,411,29,0,0.05
C0756,ES,Construction,183.04,0.149,9,460,618,7,0,0.28
C0757,IT,Construction,182.71,0.253,3,98,558,20,0,0.4
C0758,DE,Construction,169.25,0.171,16,19,728,3,0,0.18
C0759,FR,Retail,115.07,0.018,7,191,320,7,0,0.09
C0760,IT,Finance,64.08,0.268,16,178,796,29,0,0.0
C0761,FR,Retail,193.42,0.12,8,179,686,15,0,0.01
C0762,ES,Finance,105.86,0.273,3,463,762,7,0,0.04
C0763,BE,Retail,192.52,0.52,5,140,524,39,0,0.16
C0764,BE,Energy,103.98,0.425,8,419,545,37,0,0.44
C0765,DE,Retail,83.95,0.485,5,85,483,9,0,1.57
C0766,IT,Retail,213.58,0.314,9,310,758,24,0,0.02
C0767,IT,Construction,201.47,0.262,10,69,339,12,0,0.63
C0768,ES,Construction,271.92,0.088,8,118,590,32,0,0.17
C0769,FR,Retail,837.23,0.357,8,78,442,27,0,0.44
C0770,DE,Finance,220.1,0.515,9,168,650,17,0,0.12
C0771,IT,Tech,254.57,0.294,6,232,830,37,0,0.02
C0772,BE,Tech,85.26,0.728,10,429,671,29,0,0.17
C0773,FR,Tech,73.64,0.297,4,379,324,6,1,24.37
C0774,IT,Energy,548.94,0.478,7,350,519,18,0,5.15
C0775,BE,Retail,94.97,0.201,10,247,317,33,0,0.07
C0776,BE,Energy,87.29,0.203,6,146,567,22,0,0.02
C0777,ES,Tech,176.38,0.177,9,151,395,4,0,0.56
C0778,FR,Retail,170.18,0.163,7,70,680,31,0,0.01
C0779,DE,Tech,96.37,0.505,3,334,593,19,0,0.07
C0780,BE,Construction,146.43,0.086,14,391,469,10,0,0.13
C0781,BE,Construction,428.62,0.142,8,276,771,32,0,0.15
C0782,IT,Tech,103.11,0.656,6,290,710,35,0,0.44
C0783,FR,Tech,68.34,0.446,7,189,644,23,0,0.12
C0784,FR,Construction,350.66,0.228,4,481,494,28,0,0.12
C0785,ES,Construction,255.85,0.331,9,444,449,10,1,95.31
C0786,ES,Finance,117.41,0.247,8,206,622,30,0,0.03
C0787,FR,Finance,59.89,0.453,11,378,734,36,0,0.03
C0788,IT,Finance,107.64,0.163,7,177,760,10,0,0.0
C0789,ES,Finance,174.46,0.143,11,66,727,37,0,0.01
C0790,FR,Energy,409.92,0.211,13,148,312,4,0,0.93
C0791,FR,Tech,87.74,0.493,6,418,841,18,0,0.03
C0792,ES,Tech,170.86,0.097,9,243,432,3,0,0.43
C0793,IT,Tech,290.79,0.44,5,433,305,18,1,93.46
C0794,BE,Construction,34.23,0.265,7,164,608,26,0,0.0
C0795,ES,Construction,373.77,0.178,10,232,550,34,0,0.52
C0796,DE,Finance,79.22,0.507,5,41,358,6,0,0.58
C0797,BE,Retail,228.7,0.139,8,391,417,35,0,0.31
C0798,ES,Energy,215.44,0.447,7,159,413,39,0,0.42
C0799,DE,Tech,387.3,0.423,10,50,541,3,0,0.56
C0800,ES,Finance,266.57,0.275,11,113,711,38,0,0.08
C0801,FR,Tech,34.33,0.728,14,334,675,36,0,0.08
C0802,DE,Retail,104.65,0.11,3,408,314,2,0,0.11
C0803,ES,Energy,199.69,0.162,11,477,395,3,0,0.19
C0804,BE,Finance,158.15,0.373,6,121,635,29,0,0.1
C0805,IT,Finance,253.24,0.501,10,297,741,17,0,0.05
C0806,IT,Retail,314.99,0.61,6,232,318,11,0,2.99
C0807,ES,Tech,277.53,0.517,12,359,484,16,0,0.19
C0808,FR,Retail,156.02,0.392,11,338,363,14,0,0.11
C0809,DE,Tech,49.78,0.538,9,39,567,39,0,0.04
C0810,BE,Energy,131.78,0.074,7,78,514,10,0,0.68
C0811,FR,Tech,242.61,0.145,7,297,395,4,0,0.49
C0812,BE,Retail,84.49,0.092,8,267,830,33,0,0.01
C0813,IT,Energy,282.0,0.291,2,443,719,33,0,0.09
C0814,DE,Retail,342.36,0.368,9,424,600,35,0,0.17
C0815,IT,Tech,198.11,0.121,10,33,721,38,0,0.04
C0816,BE,Retail,21.23,0.38,8,294,471,2,0,0.06
C0817,FR,Retail,74.09,0.265,9,206,814,30,0,0.0
C0818,FR,Energy,678.8,0.264,7,243,526,11,0,2.83
C0819,IT,Finance,123.65,0.325,4,37,512,17,0,0.11
C0820,BE,Construction,45.2,0.274,10,420,612,18,0,0.03
C0821,FR,Retail,430.38,0.255,8,86,618,39,0,0.06
C0822,IT,Retail,182.97,0.08,5,473,640,21,0,0.11
C0823,FR,Tech,392.86,0.112,12,466,757,9,0,0.05
C0824,IT,Construction,220.05,0.075,5,411,447,4,0,1.43
C0825,IT,Construction,249.88,0.157,2,63,688,23,0,0.12
C0826,FR,Finance,233.72,0.432,3,207,408,33,0,0.06
C0827,IT,Tech,295.37,0.145,10,16,432,28,0,0.07
C0828,BE,Retail,892.66,0.212,11,307,572,37,0,0.23
C0829,BE,Retail,357.7,0.337,7,432,588,2,0,0.04
C0830,FR,Retail,59.97,0.27,13,265,654,16,0,0.03
C0831,DE,Retail,247.81,0.19,10,16,376,24,0,0.12
C0832,DE,Finance,403.04,0.353,9,155,749,34,0,0.05
C0833,ES,Tech,420.69,0.33,5,89,606,13,0,0.33
C0834,FR,Finance,134.47,0.442,8,220,626,27,0,0.2
C0835,BE,Energy,409.71,0.177,7,189,710,9,0,0.04
C0836,IT,Energy,347.03,0.192,10,415,680,24,0,0.29
C0837,BE,Energy,1097.47,0.268,13,114,535,31,0,1.62
C0838,FR,Finance,107.23,0.162,9,153,566,32,0,0.05
C0839,FR,Retail,127.08,0.033,9,122,428,18,0,0.03
C0840,BE,Retail,146.31,0.342,10,445,611,19,0,0.01
C0841,DE,Energy,128.62,0.531,3,150,411,35,1,50.27
C0842,IT,Tech,97.22,0.244,6,495,649,22,0,0.01
C0843,BE,Energy,26.21,0.254,11,334,529,14,0,0.03
